_id,name,brand,manufacturer,PriorityIndex,category,subCategory,margin,margin%,sp,mrp,availability,limit,DealerPrice,JioMartPrice,BigBasketPrice,GrofersPrice,discount,gst,weight,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f270823e),Bourn Vita Biscuits pack,Cadbury,Mondelez india Foods Pvt Ltd,7,Confectionery and Snacks ,,4.8,8,55,60,N,10,55.2,48,48,48,8,18,250gm,Bournvita biscuits provides the choice of a delicious biscuit enriched with the wholesome goodness of Bournvita. They are crunchy chocolatey cookies that have the right balance of taste and health.,,https://images-na.ssl-images-amazon.com/images/I/61f438ZhWAL._SL1024_.jpg
ObjectId(5ffb514e80ef0812f270823f),Bourn Vita Banana & Oats Biscuits (Pack of 2),Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,4.8,8,55,60,Y,10,55.2,48,48,48,8,18,2x120gm,Bournvita Biscuits provide the choice of a delicious biscuit enriched with the wholesome goodness of Bournvita. They are crunchy cookies loaded with the goodness of banana and wholesome oats that have the right balance of taste and health.,,https://images-na.ssl-images-amazon.com/images/I/61eCF2W7XML._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708240),Bourn Vita (Pack of 2),Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,7.4,8,55,60,N,10,52.6,48,48,48,8,18,2x75gm,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/71SUpzilNnL._AC_SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708241),Bourn Vita,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,8.8,8,101,110,Y,10,101.2,88,88,88,8,18,200g,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/71SUpzilNnL._AC_SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708242),Bourn Vita Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,27,8,214,233,Y,10,206,178,178,178,8,18,500g,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/61d4forPI3L._SL1200_.jpg
ObjectId(5ffb514e80ef0812f2708243),Bourn Vitta Refill,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,16.72,8,192,209,Y,10,192.28,167,167,167,8,18,500gm,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/61d4forPI3L._SL1200_.jpg
ObjectId(5ffb514e80ef0812f2708244),Bourn Vita,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,28.4,8,327,355,Y,10,326.6,284,355,284,8,18,1kg,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/51gn%2BccasqL._SL1000_.jpg
ObjectId(5ffb514e80ef0812f2708245),Bourn Vita Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,32,8,368,400,Y,10,368,320,320,320,8,18,1kg,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/51gn%2BccasqL._SL1000_.jpg
ObjectId(5ffb514e80ef0812f2708246),Bourn Vita Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,18.48,8,213,231,Y,10,212.52,185,185,185,8,18,500g,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/71SUpzilNnL._AC_SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708247),Bourn Vita Refill,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,17.44,8,201,218,Y,10,200.56,174,174,174,8,18,500g,"Cadbury have been inventing, inspiring and investing in a nation of chocolate lovers for nearly 200 years. Cadbury present Cadbury Hot Chocolate Instant to easily enjoy the Cadbury taste in an instant! Cadbury Hot Chocolate Instant is now Fairtrade certified.",,https://images-na.ssl-images-amazon.com/images/I/61hpzB8pZjL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708248),Bourn Vita Women,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,20.72,8,238,259,N,10,238.28,207,207,207,8,18,400g,Cadbury Bournvita for Women Health Drink - 400 g (Chocolate),,https://images-na.ssl-images-amazon.com/images/I/71NA4DMAkdL._AC_SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708249),Bourn Vita Little Champs,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,11.6,8,133,145,Y,10,133.4,116,116,116,8,18,200g,"Cadbury li'l champs is nutritional health drink especially formulated for children between the ages of 2 to 5 years. By the age of 5, 90 percent of your child's brain growth is complete. Bournvita little champs contains nutri-smart dha, which is known to aid brain development. It has been designed with a nutrient bundle of 11 vitamins and 5 minerals that are essential to carry out the bodys important metabolic functions.",,https://images-na.ssl-images-amazon.com/images/I/61i31KY9wUL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824a),Bourn Vita Little Champs,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,22.64,8,260,283,Y,10,260.36,226,226,226,8,18,500g,"Cadbury li'l champs is nutritional health drink especially formulated for children between the ages of 2 to 5 years. By the age of 5, 90 percent of your child's brain growth is complete. Bournvita little champs contains nutri-smart dha, which is known to aid brain development. It has been designed with a nutrient bundle of 11 vitamins and 5 minerals that are essential to carry out the bodys important metabolic functions.",,https://images-na.ssl-images-amazon.com/images/I/61i31KY9wUL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824b),Bourn Vita Little Champs Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,21.36,8,246,267,N,10,245.64,214,214,214,8,18,500g,"Cadbury li'l champs is nutritional health drink especially formulated for children between the ages of 2 to 5 years. By the age of 5, 90 percent of your child's brain growth is complete. Bournvita little champs contains nutri-smart dha, which is known to aid brain development. It has been designed with a nutrient bundle of 11 vitamins and 5 minerals that are essential to carry out the bodys important metabolic functions.",,https://images-na.ssl-images-amazon.com/images/I/61i31KY9wUL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824c),Cocoa,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,25.2,12,185,210,Y,10,184.8,168,168,168,12,18,150g,This cocoa powder comes in beautifully equipped Jar that packs the real Cadbury chocolate flavour made from finest cocoa beans. Enjoy as a hot chocolate drink or get creative using it for chocolate recipes,,https://images-na.ssl-images-amazon.com/images/I/61OjwhzpWdL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824d),Hot chocolate,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,21,12,154,175,Y,10,154,140,140,175,12,18,200g,Cadbury Drinking Chocolate is a delicious hot chocolate drink. For that perfect cup sprinkle three heaped teaspoonfuls into a cup of hot milk and enjoy. Cadbury Drinking Chocolate is perfect any time of the day.,,https://images-na.ssl-images-amazon.com/images/I/81kBWz8KCKL._AC_SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824e),Choclairs Gold Pouch,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,5,10,45,50,N,10,45,45.63,40,40,10,18,25 Units,"Enjoy the new Cadbury Choclairs with caramel inside chocolatey outside. For every chocolate lover who has ever dug deep to find the chewiest chocolate, then welcome to your little slice of heaven.",,https://images-na.ssl-images-amazon.com/images/I/61W7nCkH01L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270824f),Choclairs Gold Pouch,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,13.6,10,122,136,Y,10,122.4,109,109,109,10,18,70units,"Enjoy the new Cadbury Choclairs with caramel inside chocolatey outside. For every chocolate lover who has ever dug deep to find the chewiest chocolate, then welcome to your little slice of heaven.",,https://images-na.ssl-images-amazon.com/images/I/61W7nCkH01L._SL1500_.jpg
